sumber,judul,link,tanggal,ringkasan
Kompas,"Intoleransi, Ancaman Paling Nyata - KOMPAS.com",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOaDVuSHdjMXZwTkJHNG9neUcyOFpGcU04bkxPSXVESTFSdWJiSUhIQlFod191aHMweWw1TGtIMVphdVktWjRiTE1qQkktaGp4Mk90Mjg4aFk4UG5SMWN2SDFoSUpKcUNmREx5NmpYa0E3amh1dW5DS08tVzhuU1ZtTU1LLTJKY2Ns?oc=5,"Wed, 15 May 2013 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxOaDVuSHdjMXZwTkJHNG9neUcyOFpGcU04bkxPSXVESTFSdWJiSUhIQlFod191aHMweWw1TGtIMVphdVktWjRiTE1qQkktaGp4Mk90Mjg4aFk4UG5SMWN2SDFoSUpKcUNmREx5NmpYa0E3amh1dW5DS08tVzhuU1ZtTU1LLTJKY2Ns?oc=5"" target=""_blank"">Intoleransi, Ancaman Paling Nyata</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOMPAS.com</font>"
Kompas,Pendidikan Karakter Bendung Arus Intoleransi - Kompas.com,https://news.google.com/rss/articles/CBMifkFVX3lxTFBVVHc5cG8xNjVERkN5cVNBVXlaVlAtODdaWmlKTHFKeFhfMDhQckdoRlpjOGJWdGE3QXVhaXp5SC1uSF9UV0d2T3Z2WVI3ak5IYmdXX3l6Sm5GdHc1ZERvTkxwS2ZJcURkejc3aWVHM3c5NG02dzhITkZaR2tYdw?oc=5,"Mon, 15 Aug 2011 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBVVHc5cG8xNjVERkN5cVNBVXlaVlAtODdaWmlKTHFKeFhfMDhQckdoRlpjOGJWdGE3QXVhaXp5SC1uSF9UV0d2T3Z2WVI3ak5IYmdXX3l6Sm5GdHc1ZERvTkxwS2ZJcURkejc3aWVHM3c5NG02dzhITkZaR2tYdw?oc=5"" target=""_blank"">Pendidikan Karakter Bendung Arus Intoleransi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>"
Kompas,"Marak, Kolonialisme Keagamaan di Indonesia - KOMPAS.com",https://news.google.com/rss/articles/CBMieEFVX3lxTE96TDdtMFNYenhZRnliMVlYeUNEeWpiZzFQQXZTMFJSbDZGaFpvQVphbHNrVWJQQTdyTUhIV2FDaGpiSkdKR1BKRUR4Yk5qbm1zNE5HUzFRemdaWWwzT0w2NUNFLUZzZjdaejhEQTdTQkdOV1FNSEl5RQ?oc=5,"Thu, 19 Jul 2012 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE96TDdtMFNYenhZRnliMVlYeUNEeWpiZzFQQXZTMFJSbDZGaFpvQVphbHNrVWJQQTdyTUhIV2FDaGpiSkdKR1BKRUR4Yk5qbm1zNE5HUzFRemdaWWwzT0w2NUNFLUZzZjdaejhEQTdTQkdOV1FNSEl5RQ?oc=5"" target=""_blank"">Marak, Kolonialisme Keagamaan di Indonesia</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOMPAS.com</font>"
Kompas,Presiden Harus Jamin Natal Jemaat HKBP Filadelfia - Kompas.com,https://news.google.com/rss/articles/CBMieEFVX3lxTFBjcWFGVkpDRktMLXI1TUdrSUp5cnQwSllpTzhGSTQxMFJXZ3ZuMG1JX3lFWjVzUVN1ekhWN0FGSTdPLVJEdm56SFJsRVJVSlRweklYU0NfZ3gtdVFuckdhcW1ab3AzdlAwYWZzQzZqaWNZMmJfQ3daRQ?oc=5,"Mon, 24 Dec 2012 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFBjcWFGVkpDRktMLXI1TUdrSUp5cnQwSllpTzhGSTQxMFJXZ3ZuMG1JX3lFWjVzUVN1ekhWN0FGSTdPLVJEdm56SFJsRVJVSlRweklYU0NfZ3gtdVFuckdhcW1ab3AzdlAwYWZzQzZqaWNZMmJfQ3daRQ?oc=5"" target=""_blank"">Presiden Harus Jamin Natal Jemaat HKBP Filadelfia</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>"
Kompas,Forum Lintas Iman Prihatinkan Intoleransi - Kompas.com,https://news.google.com/rss/articles/CBMidEFVX3lxTFA4VDFSVjJxUGJ5VFQyME12LW1rRW5BZlRITTI2d0JVZEtpTnhzcDNfQ05KSENERkdyaTctakhNcnVHdzJRMjlTaVBaa00wakVuUnNjQi1uSTBMSlJ0NjZGTW9QMnl3MG1zaUY0bkJtaHVNTnlv?oc=5,"Mon, 08 Apr 2013 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTFA4VDFSVjJxUGJ5VFQyME12LW1rRW5BZlRITTI2d0JVZEtpTnhzcDNfQ05KSENERkdyaTctakhNcnVHdzJRMjlTaVBaa00wakVuUnNjQi1uSTBMSlJ0NjZGTW9QMnl3MG1zaUY0bkJtaHVNTnlv?oc=5"" target=""_blank"">Forum Lintas Iman Prihatinkan Intoleransi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>"
Kompas,Eva Sundari: Polisi Tunduk kepada Ormas - KOMPAS.com,https://news.google.com/rss/articles/CBMieEFVX3lxTE5QdkZ3Vjd0bTBDY3ZHRWhvMnVXeWpRZ3lwM2Rrc0hQaHRZeHpYVUxWVTVUUW1TbWJiNVNCWGtHbjJXTWQ4OGN0V0tLN1ZrV3Z6dC11ZFZCMGY5QmQ1MWJNTktuaHoxVlFneUdFS0kwcll6bnN2TVBZWQ?oc=5,"Wed, 16 May 2012 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTE5QdkZ3Vjd0bTBDY3ZHRWhvMnVXeWpRZ3lwM2Rrc0hQaHRZeHpYVUxWVTVUUW1TbWJiNVNCWGtHbjJXTWQ4OGN0V0tLN1ZrV3Z6dC11ZFZCMGY5QmQ1MWJNTktuaHoxVlFneUdFS0kwcll6bnN2TVBZWQ?oc=5"" target=""_blank"">Eva Sundari: Polisi Tunduk kepada Ormas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOMPAS.com</font>"
Kompas,Kriminal dan Kebebasan Beragama - KOMPAS.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxOV2syaUFCcVZLMXQ3RFI5eHE3Y3lPWmw5UTNvVGpSMWRxLVNNVDMxMGpvd002TExqT3l3WGZMZlRRLS1tVFljVUlteU5CbHdXWUZuaWNKS2hFRmZiSW8wRkFFcXlubDVhMF9DQ216WUM0S0ZyM2xqU1NkQ0FUaFVSNEV6bmc1bEE?oc=5,"Mon, 20 Sep 2010 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxOV2syaUFCcVZLMXQ3RFI5eHE3Y3lPWmw5UTNvVGpSMWRxLVNNVDMxMGpvd002TExqT3l3WGZMZlRRLS1tVFljVUlteU5CbHdXWUZuaWNKS2hFRmZiSW8wRkFFcXlubDVhMF9DQ216WUM0S0ZyM2xqU1NkQ0FUaFVSNEV6bmc1bEE?oc=5"" target=""_blank"">Kriminal dan Kebebasan Beragama</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOMPAS.com</font>"
Kompas,Pembiaran Kekerasan Jadi Preseden Buruk - Kompas.com,https://news.google.com/rss/articles/CBMifEFVX3lxTE5tU25qZXl2Ymo4ZVR4a1BIbnFTbm5CWlNUbXpwX2RwWmI3c0tzR1BuRFRiLVpDMWFtWlluVUI4MzF1NzN2ZERLT1lQYVhpMTdtTm9NNm1TaU1KOUxSLThSZ25MTmRtZnhYRUlmYnZuVU92R216QlA1Q0FDdk8?oc=5,"Wed, 22 Dec 2010 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE5tU25qZXl2Ymo4ZVR4a1BIbnFTbm5CWlNUbXpwX2RwWmI3c0tzR1BuRFRiLVpDMWFtWlluVUI4MzF1NzN2ZERLT1lQYVhpMTdtTm9NNm1TaU1KOUxSLThSZ25MTmRtZnhYRUlmYnZuVU92R216QlA1Q0FDdk8?oc=5"" target=""_blank"">Pembiaran Kekerasan Jadi Preseden Buruk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>"
Kompas,LBH Bandung Bela Ahmadiyah - Kompas.com,https://news.google.com/rss/articles/CBMie0FVX3lxTFA5N241d20tX1NGd1pxX25kZzF4NlI2SWVPSmxSMktXN19fcVVNbFk3b21tRXBlU2pVMWctODBkQ3MxVU9zaXdfb2FPb01scmNMYUY3N0RkQWFVM2lydHM5UXVHQmpsVVVudzFnRnUzcVpKQlRBMC1PeEJSUQ?oc=5,"Fri, 26 Oct 2012 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTFA5N241d20tX1NGd1pxX25kZzF4NlI2SWVPSmxSMktXN19fcVVNbFk3b21tRXBlU2pVMWctODBkQ3MxVU9zaXdfb2FPb01scmNMYUY3N0RkQWFVM2lydHM5UXVHQmpsVVVudzFnRnUzcVpKQlRBMC1PeEJSUQ?oc=5"" target=""_blank"">LBH Bandung Bela Ahmadiyah</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>"
Kompas,Dibutuhkan Pemimpin yang Membanggakan - KOMPAS.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxNajZjekZZTVFrV1R0eUVzMW04b0tpSkhUV0RMQ1A1Z3FDYWZMajRtVERzS2N3Q1JGTzRyWnU2bERMU1lZcVhYQ21kNkxNcXRaXzdya201SzJ0RGpiNW5lbHR6T2hOMmFQd001TzhNMnFPLVBrb2dGMUwtc1ptdE5TR2VwalR4T3BEQXpFRXFVaw?oc=5,"Mon, 28 May 2012 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNajZjekZZTVFrV1R0eUVzMW04b0tpSkhUV0RMQ1A1Z3FDYWZMajRtVERzS2N3Q1JGTzRyWnU2bERMU1lZcVhYQ21kNkxNcXRaXzdya201SzJ0RGpiNW5lbHR6T2hOMmFQd001TzhNMnFPLVBrb2dGMUwtc1ptdE5TR2VwalR4T3BEQXpFRXFVaw?oc=5"" target=""_blank"">Dibutuhkan Pemimpin yang Membanggakan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KOMPAS.com</font>"
